Math_Score,Science_Score,Biology_Score,Computer_Score,English_Score,Interest_Technology,Interest_Medicine,Interest_Business,Interest_Arts,Interest_Research,Logical_Thinking,Creativity,Communication_Skills,Problem_Solving,Risk_Taking,Leadership,Family_Preference,Financial_Stability_Required,Recommended_Career
78,98,88,91,87,7,0,0,3,7,7,1,7,10,0,4,1,8,General Studies
91,45,60,60,85,8,1,2,10,7,10,7,6,6,8,4,0,10,General Studies
68,80,48,68,66,6,6,6,7,4,7,7,7,4,4,0,1,2,General Studies
54,78,45,45,87,7,9,0,9,0,4,3,9,0,10,5,1,3,General Studies
82,43,90,76,47,3,2,10,6,5,7,3,9,10,1,5,0,2,General Studies
47,52,84,40,62,3,4,1,10,6,5,8,1,3,2,3,0,2,Graphic Designer
60,88,74,90,99,1,7,1,2,8,4,3,9,10,0,5,1,0,General Studies
78,99,78,40,81,7,7,3,7,1,10,9,6,8,5,5,0,9,General Studies
97,41,61,66,88,10,5,2,3,1,3,10,3,7,5,0,0,5,General Studies
58,99,80,60,98,1,4,2,1,9,4,8,0,2,2,4,1,8,General Studies
62,44,93,92,68,8,1,9,10,0,3,2,10,1,2,1,0,4,Software Engineer
50,83,44,55,89,3,8,4,4,4,0,1,2,10,6,6,0,9,General Studies
50,66,81,83,59,0,0,2,0,1,2,10,4,8,0,8,1,1,General Studies
63,71,62,98,55,3,10,10,7,2,7,7,9,0,4,8,0,9,Business Manager
92,60,56,93,56,2,1,6,7,1,6,2,7,8,2,10,0,3,General Studies
75,47,51,79,55,5,0,4,2,10,6,1,1,6,4,8,0,5,General Studies
79,77,62,65,58,6,3,3,0,3,10,10,1,1,10,10,0,6,General Studies
63,47,55,55,95,7,3,2,3,10,2,7,7,10,3,6,0,6,General Studies
42,89,42,67,95,1,4,3,8,2,8,7,8,4,5,6,0,3,General Studies
61,42,69,40,47,5,4,1,8,8,5,4,9,1,8,0,1,9,General Studies
92,93,96,75,77,5,7,0,0,9,7,8,0,4,1,10,0,9,General Studies
41,83,61,49,77,9,10,2,10,1,7,10,1,6,9,10,0,4,Graphic Designer
63,97,48,82,92,4,10,10,6,6,2,5,3,4,7,5,0,3,General Studies
83,42,68,56,68,9,2,1,5,10,3,4,2,1,1,4,1,9,General Studies
69,61,86,96,80,9,5,0,6,2,5,2,0,10,3,7,0,5,Software Engineer
77,45,76,98,75,6,2,0,6,9,1,6,3,4,8,7,1,10,General Studies
41,41,62,62,65,2,1,1,7,7,10,8,10,9,3,10,1,6,General Studies
99,62,52,46,70,3,7,8,7,3,6,3,10,5,6,3,1,1,General Studies
60,83,71,83,83,9,0,4,9,3,1,10,1,4,10,0,1,9,Software Engineer
72,41,85,92,99,8,8,8,10,8,10,6,9,1,4,5,1,2,Doctor
51,77,91,46,51,3,10,7,1,10,4,2,4,5,1,9,0,10,Doctor
97,56,86,83,94,2,6,10,3,2,3,10,0,5,7,0,0,7,General Studies
61,74,87,54,56,1,9,5,3,6,8,1,7,1,10,4,0,6,Doctor
83,73,62,73,54,4,10,0,10,0,1,10,9,3,9,4,0,0,Graphic Designer
64,62,84,85,48,3,3,9,9,6,6,0,1,6,9,2,1,3,General Studies
88,69,56,84,78,7,2,4,7,9,6,5,10,0,1,4,1,4,General Studies
66,91,94,43,81,6,5,0,2,10,6,4,2,0,2,5,1,2,General Studies
98,47,79,53,87,5,8,6,2,1,0,1,2,10,9,4,1,3,Doctor
81,61,60,53,51,10,8,9,1,5,7,2,3,10,6,0,1,9,General Studies
67,83,41,55,71,1,3,10,0,8,1,8,6,5,4,6,1,9,General Studies
99,97,76,46,64,2,9,7,7,5,4,2,8,6,9,2,0,9,Doctor
55,75,45,71,78,9,4,7,8,2,1,6,2,4,10,6,0,6,Software Engineer
54,44,83,58,57,8,10,6,8,0,4,0,0,9,2,4,0,7,Doctor
86,52,57,41,54,8,8,1,10,3,6,6,10,7,1,2,0,8,General Studies
90,68,69,49,71,4,1,4,7,3,5,8,9,10,10,10,1,1,General Studies
